Gene	Annotation_F	Isolates_F	Annotation_En	Isolates_En
nagE_2	PTS system N-acetylglucosamine-specific EIICBA component	56	PTS system N-acetylglucosamine-specific EIICBA component	63
pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	56	4-hydroxythreonine-4-phosphate dehydrogenase	63
dauR_2	Transcriptional regulator DauR	56	Transcriptional regulator DauR	63
aspT	Aspartate/alanine antiporter	56	Aspartate/alanine antiporter	63
mukB	Chromosome partition protein MukB	56	Chromosome partition protein MukB	63
dinF	DNA damage-inducible protein F	56	DNA damage-inducible protein F	63
cysG_2	Siroheme synthase	56	Siroheme synthase	63
ftsY_2	Signal recognition particle receptor FtsY	56	Signal recognition particle receptor FtsY	63
frdB	Fumarate reductase iron-sulfur subunit	56	Fumarate reductase iron-sulfur subunit	63
yknY_3	putative ABC transporter ATP-binding protein YknY	56	putative ABC transporter ATP-binding protein YknY	63
ppnN	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase	56	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase	63
hisS	Histidine--tRNA ligase	56	Histidine--tRNA ligase	63
cpg2	Carboxypeptidase G2	56	Carboxypeptidase G2	63
nupX_2	Putative nucleoside permease NupX	56	Putative nucleoside permease NupX	63
nfsB	Oxygen-insensitive NAD(P)H nitroreductase	56	Oxygen-insensitive NAD(P)H nitroreductase	63
thiD	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	56	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	63
ribX	Riboflavin transport system permease protein RibX	56	Riboflavin transport system permease protein RibX	63
rsmB	Ribosomal RNA small subunit methyltransferase B	56	Ribosomal RNA small subunit methyltransferase B	63
mnmE	tRNA modification GTPase MnmE	56	tRNA modification GTPase MnmE	63
parA	Plasmid partition protein A	56	Plasmid partition protein A	63
oppC_2	Oligopeptide transport system permease protein OppC	56	Oligopeptide transport system permease protein OppC	63
glnM_1	hypothetical protein	56	hypothetical protein	63
era	GTPase Era	56	GTPase Era	63
rpmD	50S ribosomal protein L30	56	50S ribosomal protein L30	63
rpsU	30S ribosomal protein S21	56	30S ribosomal protein S21	63
rplW	50S ribosomal protein L23	56	50S ribosomal protein L23	63
acpP_3	Acyl carrier protein	56	Acyl carrier protein	63
glnB_1	Nitrogen regulatory protein P-II	56	Nitrogen regulatory protein P-II	63
cydX	Cytochrome bd-I ubiquinol oxidase subunit X	56	Cytochrome bd-I ubiquinol oxidase subunit X	63
ptsH	Phosphocarrier protein HPr	56	Phosphocarrier protein HPr	63
rpmJ	50S ribosomal protein L36	56	50S ribosomal protein L36	63
rpsJ	30S ribosomal protein S10	56	30S ribosomal protein S10	63
crp_2	cAMP-activated global transcriptional regulator CRP	56	cAMP-activated global transcriptional regulator CRP	63
rpmH	50S ribosomal protein L34	56	50S ribosomal protein L34	63
metJ	Met repressor	56	Met repressor	63
nrdR	Transcriptional repressor NrdR	56	Transcriptional repressor NrdR	63
crr	PTS system glucose-specific EIIA component	56	PTS system glucose-specific EIIA component	63
rplV	50S ribosomal protein L22	56	50S ribosomal protein L22	63
rpsP	30S ribosomal protein S16	56	30S ribosomal protein S16	63
rppH_1	RNA pyrophosphohydrolase	56	RNA pyrophosphohydrolase	63
ftsA	Cell division protein FtsA	56	Cell division protein FtsA	63
rplM	50S ribosomal protein L13	56	50S ribosomal protein L13	63
cspD	Cold shock-like protein CspD	56	Cold shock-like protein CspD	63
rpsS	30S ribosomal protein S19	56	30S ribosomal protein S19	63
uvrY	Response regulator UvrY	56	Response regulator UvrY	63
murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	56	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	63
ahpC_2	Alkyl hydroperoxide reductase C	56	Alkyl hydroperoxide reductase C	63
occP	Octopine permease ATP-binding protein P	56	Octopine permease ATP-binding protein P	63
yxeN	putative amino-acid permease protein YxeN	56	putative amino-acid permease protein YxeN	63
cheY	Chemotaxis protein CheY	56	Chemotaxis protein CheY	63
rnfA	Ion-translocating oxidoreductase complex subunit A	56	Ion-translocating oxidoreductase complex subunit A	63
iscU	Iron-sulfur cluster assembly scaffold protein IscU	56	Iron-sulfur cluster assembly scaffold protein IscU	63
ybaB	Nucleoid-associated protein YbaB	56	Nucleoid-associated protein YbaB	63
rpmF	50S ribosomal protein L32	56	50S ribosomal protein L32	63
rplU	50S ribosomal protein L21	56	50S ribosomal protein L21	63
trxA	Thioredoxin 1	56	Thioredoxin 1	63
fabG_5	3-oxoacyl-[acyl-carrier-protein] reductase FabG	56	3-oxoacyl-[acyl-carrier-protein] reductase FabG	63
clpP	ATP-dependent Clp protease proteolytic subunit	56	ATP-dependent Clp protease proteolytic subunit	63
rpsN	30S ribosomal protein S14	56	30S ribosomal protein S14	63
rpmC	50S ribosomal protein L29	56	50S ribosomal protein L29	63
uvrC	UvrABC system protein C	56	UvrABC system protein C	63
ompW	Outer membrane protein W	56	Outer membrane protein W	63
cysA	Sulfate/thiosulfate import ATP-binding protein CysA	56	Sulfate/thiosulfate import ATP-binding protein CysA	63
kefC_2	Glutathione-regulated potassium-efflux system protein KefC	56	Glutathione-regulated potassium-efflux system protein KefC	63
yheS	putative ABC transporter ATP-binding protein YheS	56	putative ABC transporter ATP-binding protein YheS	63
astA	Arginine N-succinyltransferase	56	Arginine N-succinyltransferase	63
thrB	Homoserine kinase	56	Homoserine kinase	63
dusB	tRNA-dihydrouridine synthase B	56	tRNA-dihydrouridine synthase B	63
ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	56	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	63
pfs	Aminodeoxyfutalosine nucleosidase	56	Aminodeoxyfutalosine nucleosidase	63
cysW_2	hypothetical protein	56	hypothetical protein	63
glpQ	Glycerophosphodiester phosphodiesterase, periplasmic	56	Glycerophosphodiester phosphodiesterase, periplasmic	63
pmbA_2	Metalloprotease PmbA	56	Metalloprotease PmbA	63
tldD_2	Metalloprotease TldD	56	Metalloprotease TldD	63
argH	Argininosuccinate lyase	56	Argininosuccinate lyase	63
aroB	3-dehydroquinate synthase	56	3-dehydroquinate synthase	63
flgH_1	Flagellar L-ring protein	56	Flagellar L-ring protein	63
dlsT	putative serine transporter	56	putative serine transporter	63
chiA_1	Chitinase A	56	Chitinase A	63
truC	tRNA pseudouridine synthase C	56	tRNA pseudouridine synthase C	63
glyA	Serine hydroxymethyltransferase	56	Serine hydroxymethyltransferase	63
mrdB_2	Peptidoglycan glycosyltransferase MrdB	56	Peptidoglycan glycosyltransferase MrdB	63
bpt	Aspartate/glutamate leucyltransferase	56	Aspartate/glutamate leucyltransferase	63
ynjF	Inner membrane protein YnjF	56	Inner membrane protein YnjF	63
fliQ_1	Flagellar biosynthetic protein FliQ	56	Flagellar biosynthetic protein FliQ	63
recJ	Single-stranded-DNA-specific exonuclease RecJ	56	Single-stranded-DNA-specific exonuclease RecJ	63
cusA	Cation efflux system protein CusA	56	Cation efflux system protein CusA	63
petB	Cytochrome b	56	Cytochrome b	63
flgG_2	Flagellar basal-body rod protein FlgG	56	Flagellar basal-body rod protein FlgG	63
flgF_2	Flagellar basal-body rod protein FlgF	56	Flagellar basal-body rod protein FlgF	63
pilT_2	Twitching mobility protein	56	Twitching mobility protein	63
glyS	Glycine--tRNA ligase beta subunit	56	Glycine--tRNA ligase beta subunit	63
mfd	Transcription-repair-coupling factor	56	Transcription-repair-coupling factor	63
cysN	Sulfate adenylyltransferase subunit 1	56	Sulfate adenylyltransferase subunit 1	63
sapC	Putrescine export system permease protein SapC	56	Putrescine export system permease protein SapC	63
hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	56	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	63
yccS	Inner membrane protein YccS	56	Inner membrane protein YccS	63
deoA	Thymidine phosphorylase	56	Thymidine phosphorylase	63
ptsI	Phosphoenolpyruvate-protein phosphotransferase	56	Phosphoenolpyruvate-protein phosphotransferase	63
rplC	50S ribosomal protein L3	56	50S ribosomal protein L3	63
priA	Primosomal protein N'	56	Primosomal protein N'	63
pstB3	Phosphate import ATP-binding protein PstB 3	56	Phosphate import ATP-binding protein PstB 3	63
murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	56	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	63
copA_2	Copper-exporting P-type ATPase	56	Copper-exporting P-type ATPase	63
dmlR_6	HTH-type transcriptional regulator DmlR	56	HTH-type transcriptional regulator DmlR	63
prfC	Peptide chain release factor RF3	56	Peptide chain release factor RF3	63
ygbN	Inner membrane permease YgbN	56	Inner membrane permease YgbN	63
pstC1	hypothetical protein	56	hypothetical protein	63
ravA	ATPase RavA	56	ATPase RavA	63
doeB_1	N-alpha-acetyl-L-2,4-diaminobutyric acid deacetylase	56	N-alpha-acetyl-L-2,4-diaminobutyric acid deacetylase	63
smg	Protein Smg	56	Protein Smg	63
recG	ATP-dependent DNA helicase RecG	56	ATP-dependent DNA helicase RecG	63
thyA	Thymidylate synthase	56	Thymidylate synthase	63
fumE	Fumarase E	56	Fumarase E	63
fruA_1	PTS system fructose-specific EIIABC component	56	PTS system fructose-specific EIIABC component	63
lysA	Diaminopimelate decarboxylase	56	Diaminopimelate decarboxylase	63
tatC	Sec-independent protein translocase protein TatC	56	Sec-independent protein translocase protein TatC	63
