Gene	Annotation_En	Isolates_En
group_1002	hypothetical protein	63
thiF	Sulfur carrier protein ThiS adenylyltransferase	63
csgA_2	hypothetical protein	63
group_1008	hypothetical protein	63
yecM	Protein YecM	63
group_1018	hypothetical protein	63
flaD_1	Flagellin D	63
group_1024	hypothetical protein	63
group_107	hypothetical protein	63
fecB	Fe(3 ) dicitrate-binding periplasmic protein	63
sbnH	2-[(L-alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate decarboxylase	63
dmsD	Tat proofreading chaperone DmsD	63
group_1097	hypothetical protein	63
group_1110	hypothetical protein	63
yhjX	putative MFS-type transporter YhjX	63
occR	Octopine catabolism/uptake operon regulatory protein OccR	63
trpI	HTH-type transcriptional regulator TrpI	63
group_1139	hypothetical protein	63
group_1140	hypothetical protein	63
panE	2-dehydropantoate 2-reductase	63
group_1163	hypothetical protein	63
bepE_3	Efflux pump membrane transporter BepE	63
group_1172	hypothetical protein	63
sph	hypothetical protein	63
group_1199	HTH-type transcriptional regulator CueR	63
lsrG	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase	63
group_1212	hypothetical protein	63
kdpE	Transcriptional regulatory protein KdpE	63
group_1268	hypothetical protein	63
group_1279	hypothetical protein	63
oxyR_2	HTH-type transcriptional regulator HdfR	63
mtgA	Biosynthetic peptidoglycan transglycosylase	63
sigE_1	ECF RNA polymerase sigma factor SigE	63
pbuE	Purine efflux pump PbuE	63
group_1299	hypothetical protein	63
group_1307	hypothetical protein	63
pyrE_2	hypothetical protein	63
group_1312	hypothetical protein	63
group_1327	hypothetical protein	63
group_1353	hypothetical protein	63
group_1357	hypothetical protein	63
yfiH	Polyphenol oxidase	63
group_1375	hypothetical protein	63
group_1382	hypothetical protein	63
norG_3	HTH-type transcriptional regulator NorG	63
group_1386	hypothetical protein	63
group_1391	hypothetical protein	63
mpaA	Murein peptide amidase A	63
group_1408	hypothetical protein	63
chrR_1	hypothetical protein	63
ppsC	hypothetical protein	63
yjjW	Putative glycyl-radical enzyme activating enzyme YjjW	63
lolA_2	Outer-membrane lipoprotein carrier protein	63
group_1455	hypothetical protein	63
napF_2	Ferredoxin-type protein NapF	63
yfhP	hypothetical protein	63
group_1516	Phosphorylated carbohydrates phosphatase	63
group_1522	hypothetical protein	63
group_1523	hypothetical protein	63
yodB	Cytochrome b561 	63
artQ	Arginine ABC transporter permease protein ArtQ	63
group_1563	hypothetical protein	63
group_1567	hypothetical protein	63
ydcP_1	hypothetical protein	63
group_1582	hypothetical protein	63
group_1585	hypothetical protein	63
group_1586	hypothetical protein	63
group_1603	hypothetical protein	63
yceM	Putative oxidoreductase YceM	63
group_1621	hypothetical protein	63
phnW	2-aminoethylphosphonate--pyruvate transaminase	63
yjjV	putative metal-dependent hydrolase YjjV	63
yfcA_3	putative membrane transporter protein YfcA	63
tilS	tRNA(Ile)-lysidine synthase	63
dsbD_1	Thiol:disulfide interchange protein DsbD	63
ttrS_2	Tetrathionate sensor histidine kinase TtrS	63
group_1688	hypothetical protein	63
glxK	Glycerate 3-kinase	63
trpS2	Tryptophan--tRNA ligase 2	63
ccmF_2	Cytochrome c-type biogenesis protein CcmF	63
rluA_1	hypothetical protein	63
prtV	hypothetical protein	63
ygfA	5-formyltetrahydrofolate cyclo-ligase	63
group_1758	hypothetical protein	63
group_176	hypothetical protein	63
calB	Coniferyl aldehyde dehydrogenase	63
topA_2	DNA topoisomerase 1	63
group_1769	hypothetical protein	63
group_1772	hypothetical protein	63
group_1786	hypothetical protein	63
group_1787	Spermidine/putrescine import ATP-binding protein PotA	63
group_1793	hypothetical protein	63
group_1794	hypothetical protein	63
group_18020	hypothetical protein	63
rpsQ	30S ribosomal protein S17	63
fliE_2	Flagellar hook-basal body complex protein FliE	63
rplN	50S ribosomal protein L14	63
fliQ_2	Flagellar biosynthetic protein FliQ	63
cheX	hypothetical protein	63
group_18027	hypothetical protein	63
rpmE	50S ribosomal protein L31	63
cspG_1	Cold shock-like protein CspG	63
rplE	50S ribosomal protein L5	63
group_18044	tRNA-Leu(taa)	63
group_18045	hypothetical protein	63
rpsI	30S ribosomal protein S9	63
rpsM	30S ribosomal protein S13	63
zapB	Cell division protein ZapB	63
csrA	Carbon storage regulator	63
group_18056	hypothetical protein	63
argR	Arginine repressor	63
group_18059	hypothetical protein	63
ccmD	hypothetical protein	63
atpE	ATP synthase subunit c	63
lrp_1	Leucine-responsive regulatory protein	63
ribH	6,7-dimethyl-8-ribityllumazine synthase	63
rplR	50S ribosomal protein L18	63
group_18067	hypothetical protein	63
group_18068	hypothetical protein	63
ptsO	Phosphocarrier protein NPr	63
rpsT	30S ribosomal protein S20	63
group_18075	hypothetical protein	63
efp	Elongation factor P	63
rpmG	50S ribosomal protein L33	63
glnB_2	Nitrogen regulatory protein P-II	63
group_18081	hypothetical protein	63
group_18084	hypothetical protein	63
IMPDH_1	Inosine-5'-monophosphate dehydrogenase	63
fis	DNA-binding protein Fis	63
group_18088	hypothetical protein	63
group_18089	hypothetical protein	63
group_18092	hypothetical protein	63
rnk	Regulator of nucleoside diphosphate kinase	63
yclO	Petrobactin import system permease protein YclO	63
ftsL	Cell division protein FtsL	63
bcr_2	Bicyclomycin resistance protein	63
rep	ATP-dependent DNA helicase Rep	63
gpmI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	63
hutH_2	Histidine ammonia-lyase	63
group_18108	hypothetical protein	63
bamA	Outer membrane protein assembly factor BamA	63
gyrA	DNA gyrase subunit A	63
fieF	Ferrous-iron efflux pump FieF	63
group_18115	hypothetical protein	63
group_18118	hypothetical protein	63
